Age,M,F
0-4,14927572,14225845
5-9,13894400,13221333
10-14,11660053,11113259
15-19,10488299,10017891
20-24,10120841,9730797
25-29,9922949,9724830
30-34,9436484,9417421
35-39,8496025,8549118
40-44,7122564,7279863
45-49,5888166,6145871
50-54,5156764,5347189
55-59,4463621,4524381
60-64,3576334,3669639
65-69,2654543,2774754
70-74,1723098,1944713
75-79,1028035,1295167
80-84,595232,818244
85-89,246494,371259
90-94,64763,107558
95-99,11591,21412
100+,809,1583
