Age,M,F
0-4,70866,66731
5-9,86776,82214
10-14,91352,87101
15-19,88346,84620
20-24,112688,105747
25-29,97940,93194
30-34,115686,110527
35-39,123030,119126
40-44,111789,108864
45-49,115436,112780
50-54,117118,121600
55-59,129074,140500
60-64,114848,125228
65-69,99308,113591
70-74,57621,76692
75-79,39955,60767
80-84,31546,50834
85-89,8760,13983
90-94,4099,7973
95-99,531,2005
100+,29,121
