Age,M,F
0-4,3309951,3111532
5-9,3744178,3518832
10-14,3978048,3738296
15-19,3872845,3646894
20-24,4026212,3803326
25-29,4224117,4029330
30-34,4561022,4457077
35-39,5161197,5120247
40-44,5839499,5785561
45-49,6022968,6014272
50-54,5768465,5900860
55-59,5380758,5661162
60-64,4639620,5019854
65-69,4076226,4546327
70-74,3545992,4145029
75-79,2628692,3346153
80-84,2003069,2900304
85-89,1141697,2006708
90-94,424133,941457
95-99,96044,275482
100+,6887,26627
