Age,M,F
0-4,28457,27848
5-9,27559,27021
10-14,24657,24235
15-19,24281,23853
20-24,25430,24552
25-29,28016,26343
30-34,29251,25696
35-39,27825,23151
40-44,23748,20237
45-49,18911,16489
50-54,15253,12640
55-59,12248,9598
60-64,9173,7442
65-69,5398,4275
70-74,2409,2130
75-79,1178,1210
80-84,657,637
85-89,231,254
90-94,63,77
95-99,10,14
100+,0,1
