Age,M,F
0-4,3133166,2976646
5-9,3256771,3101440
10-14,3128121,2986402
15-19,2954441,2831309
20-24,3244123,3109738
25-29,3615259,3489102
30-34,3629577,3575440
35-39,3487509,3481503
40-44,3381871,3374265
45-49,3445810,3478375
50-54,3592782,3657077
55-59,3423518,3522692
60-64,2959155,3087578
65-69,2659524,2854448
70-74,2520954,2780979
75-79,1710385,2042658
80-84,1129876,1506585
85-89,631378,997569
90-94,249675,512163
95-99,59054,167011
100+,4083,18520
