Age,M,F
0-4,483091,457120
5-9,513440,485483
10-14,553094,523602
15-19,510419,481968
20-24,531643,494396
25-29,600726,548216
30-34,727100,667127
35-39,630002,596912
40-44,790468,766251
45-49,770588,748793
50-54,727046,731353
55-59,506130,544195
60-64,616867,719920
65-69,537737,685095
70-74,365194,512796
75-79,231306,373620
80-84,189108,356871
85-89,93835,175560
90-94,33138,63240
95-99,6882,13101
100+,473,652
