Age,M,F
0-4,434238,412559
5-9,414837,392896
10-14,370373,350772
15-19,337166,319510
20-24,314172,298165
25-29,289372,277171
30-34,283682,278948
35-39,277209,278066
40-44,266913,270218
45-49,238609,243330
50-54,199868,206909
55-59,180228,192137
60-64,166600,185322
65-69,164253,186262
70-74,126116,144534
75-79,71719,88503
80-84,51032,72125
85-89,32174,50697
90-94,13942,25502
95-99,4407,7721
100+,416,699
