Age,M,F
0-4,13860456,13196901
5-9,13616492,12937536
10-14,12517324,11909293
15-19,11677183,11114649
20-24,12021649,10942860
25-29,13039234,10970082
30-34,13124405,10705806
35-39,11884126,9800969
40-44,10472871,8561578
45-49,8672655,7216412
50-54,6851811,6007159
55-59,5448129,5024356
60-64,3980033,4054884
65-69,2822134,3226697
70-74,1813076,2166628
75-79,1200691,1538530
80-84,731104,1050107
85-89,309540,540008
90-94,78749,182098
95-99,14234,38316
100+,901,3127
