Age,M,F
0-4,5168162,4916229
5-9,5201869,4926732
10-14,5286872,4981082
15-19,5460445,5135930
20-24,5648967,5342982
25-29,5922366,5689730
30-34,6315885,6178819
35-39,6219294,6178985
40-44,5970237,5961759
45-49,6547548,6531689
50-54,7380045,7387457
55-59,7118357,7225913
60-64,6128285,6430146
65-69,5256052,5773323
70-74,4449685,5054054
75-79,3379311,4164698
80-84,2591228,3661143
85-89,1322737,2300863
90-94,524664,1222338
95-99,119728,403047
100+,7204,36551
