Age,M,F
0-4,3434475,3354129
5-9,3405420,3335627
10-14,3154505,3102053
15-19,2850626,2816322
20-24,2879886,2842750
25-29,3011929,2971913
30-34,2995046,2963049
35-39,2588107,2582967
40-44,2042575,2087045
45-49,1702766,1792891
50-54,1379988,1505076
55-59,1106675,1279975
60-64,859577,1072133
65-69,618292,834170
70-74,384973,572056
75-79,232411,397299
80-84,105037,219605
85-89,33949,85976
90-94,6158,19455
95-99,609,2331
100+,10,57
