Age,M,F
0-4,129572,120391
5-9,114953,108524
10-14,123602,118724
15-19,148127,134823
20-24,226491,182983
25-29,235116,197016
30-34,228879,206208
35-39,238348,225427
40-44,247996,228496
45-49,258942,229925
50-54,250145,217377
55-59,259982,219382
60-64,233476,200106
65-69,173697,155357
70-74,77337,89520
75-79,41334,51936
80-84,29827,41515
85-89,13971,24051
90-94,5108,10743
95-99,1176,3038
100+,146,575
