Age,M,F
0-4,33857909,33115267
5-9,30834679,30260753
10-14,27693064,27282232
15-19,24214736,24027233
20-24,20621806,20688752
25-29,17074420,17365195
30-34,14120526,14568113
35-39,11566414,12072586
40-44,9277104,9625368
45-49,7355039,7667256
50-54,5622863,6088988
55-59,4328940,4866070
60-64,3280569,3846518
65-69,2364958,2885594
70-74,1549996,2039526
75-79,894239,1247323
80-84,425638,643141
85-89,159076,257995
90-94,35918,61925
95-99,5552,10710
100+,311,641
