Age,M,F
0-4,8616571,8160407
5-9,8755962,8294537
10-14,8019786,7623801
15-19,7033677,6700964
20-24,7431593,7103751
25-29,9963013,9538833
30-34,12287512,11914259
35-39,11611209,11515188
40-44,10782016,11120664
45-49,9718820,10234836
50-54,8654376,9623869
55-59,9330222,11101891
60-64,8713075,11406810
65-69,6948735,10168151
70-74,4310117,7025315
75-79,2530014,5175230
80-84,2120944,5101702
85-89,826986,2267066
90-94,318028,1111237
95-99,48477,217362
100+,2862,15053
