Age,M,F
0-4,2764553,2609385
5-9,2626356,2484818
10-14,2290378,2170453
15-19,2096333,1993686
20-24,1904789,1823322
25-29,1678326,1607374
30-34,1449516,1393015
35-39,1227856,1182170
40-44,1056219,1033361
45-49,855755,868698
50-54,639839,690856
55-59,398531,462648
60-64,305098,360493
65-69,272799,323378
70-74,145143,166369
75-79,106278,134244
80-84,50457,72989
85-89,18484,30407
90-94,4325,8500
95-99,738,1684
100+,40,125
