Age,M,F
0-4,849691,805166
5-9,833875,791506
10-14,809143,768625
15-19,767904,733706
20-24,820079,788473
25-29,914654,878319
30-34,934339,932747
35-39,897596,897661
40-44,803525,812678
45-49,825466,840928
50-54,766933,785997
55-59,762569,778154
60-64,679944,710836
65-69,593932,620305
70-74,509764,535305
75-79,347087,376503
80-84,231870,272568
85-89,132577,188213
90-94,55712,98707
95-99,13809,32256
100+,842,3236
