Age,M,F
0-4,96333,90578
5-9,106155,99768
10-14,106999,101627
15-19,103850,98284
20-24,123217,117262
25-29,122287,117450
30-34,134068,129988
35-39,145457,140500
40-44,145030,140983
45-49,134801,134529
50-54,141163,145487
55-59,146311,155988
60-64,138585,151992
65-69,126104,144218
70-74,84529,113407
75-79,61087,96357
80-84,47740,87285
85-89,19124,50953
90-94,6148,19630
95-99,970,3806
100+,57,192
