Age,M,F
0-4,1385203,1363972
5-9,1180292,1164643
10-14,1039728,1028502
15-19,887862,881508
20-24,738633,737060
25-29,549511,555187
30-34,411588,419433
35-39,317359,329145
40-44,269079,284344
45-49,232502,250963
50-54,190182,205463
55-59,155997,162129
60-64,127685,128758
65-69,95801,97867
70-74,62999,66016
75-79,33901,38676
80-84,15334,19843
85-89,4964,6780
90-94,1334,2023
95-99,229,374
100+,13,24
