Age,M,F
0-4,6586885,6216932
5-9,6090441,5727940
10-14,4810331,4533606
15-19,4435210,4189591
20-24,4278585,4087985
25-29,4100439,4006933
30-34,4031158,3951062
35-39,3526300,3413548
40-44,2940517,2879313
45-49,2344919,2409919
50-54,2035206,2092779
55-59,1767813,1782072
60-64,1399912,1451873
65-69,1011894,1094280
70-74,723478,871163
75-79,344142,473628
80-84,195583,291548
85-89,77016,136867
90-94,19364,43897
95-99,3239,9779
100+,167,761
