Age,M,F
0-4,556888,530589
5-9,594901,574641
10-14,572982,560349
15-19,517919,508567
20-24,468628,460846
25-29,429077,422090
30-34,389258,380004
35-39,356544,343024
40-44,305791,289119
45-49,270705,251482
50-54,214591,201558
55-59,152152,152351
60-64,99662,104662
65-69,69647,74058
70-74,51175,58743
75-79,35574,41989
80-84,19303,22413
85-89,6749,9152
90-94,1470,2434
95-99,191,392
100+,8,19
