Age,M,F
0-4,35709,33329
5-9,38612,36759
10-14,38058,35778
15-19,30888,29412
20-24,31645,29973
25-29,47675,42712
30-34,52990,47968
35-39,46710,44079
40-44,46397,43772
45-49,47241,46163
50-54,38100,40123
55-59,42645,47452
60-64,38481,47968
65-69,32621,46754
70-74,20709,33550
75-79,17928,36101
80-84,12145,30349
85-89,5629,17015
90-94,2101,7919
95-99,326,1729
100+,16,118
