Age,M,F
0-4,141299,132763
5-9,146432,135009
10-14,129318,115790
15-19,115390,102015
20-24,126679,114846
25-29,139013,136699
30-34,144549,146463
35-39,134772,139243
40-44,128076,135213
45-49,121861,130936
50-54,118187,134505
55-59,127585,152520
60-64,107915,137734
65-69,84790,119752
70-74,55595,87364
75-79,36419,66109
80-84,32491,66532
85-89,11201,24434
90-94,3741,11131
95-99,414,1863
100+,15,98
