Age,M,F
0-4,10580,10132
5-9,11709,11247
10-14,11821,11122
15-19,10789,10537
20-24,11670,11140
25-29,13075,12353
30-34,11752,11363
35-39,11911,11438
40-44,10859,10716
45-49,10638,10409
50-54,10294,10550
55-59,10555,10877
60-64,10001,9997
65-69,8382,8255
70-74,6680,6633
75-79,4198,4712
80-84,2733,3281
85-89,1733,2511
90-94,674,1141
95-99,166,355
100+,10,38
