Age,M,F
0-4,32728482,31483403
5-9,28784912,27774331
10-14,24876687,24065070
15-19,21167961,20548657
20-24,17674856,17249912
25-29,14815836,14538564
30-34,12573991,12459675
35-39,10598722,10631607
40-44,8715832,8790629
45-49,6952392,7108769
50-54,5475409,5724109
55-59,4333473,4610907
60-64,3237183,3563489
65-69,2288071,2593752
70-74,1498044,1739007
75-79,823773,997440
80-84,330852,422115
85-89,92087,124332
90-94,16544,24217
95-99,1833,3083
100+,42,97
