Age,M,F
0-4,88032,81021
5-9,86778,78089
10-14,89882,77471
15-19,109849,98105
20-24,121178,114343
25-29,131317,115008
30-34,118634,97383
35-39,86592,74741
40-44,76185,79433
45-49,82374,92427
50-54,91430,97630
55-59,99554,103515
60-64,88545,92239
65-69,66838,70372
70-74,51313,54171
75-79,40635,43854
80-84,24746,26906
85-89,10045,12536
90-94,2551,4166
95-99,293,684
100+,14,34
