Age,M,F
0-4,218254,203651
5-9,231035,215865
10-14,255591,238889
15-19,266434,249502
20-24,276405,259152
25-29,301034,282872
30-34,316972,300525
35-39,302195,296829
40-44,311516,312272
45-49,298658,304819
50-54,278614,289112
55-59,266963,285667
60-64,266699,298740
65-69,272900,323002
70-74,193787,244055
75-79,107194,151187
80-84,82073,128762
85-89,39751,67435
90-94,10144,19469
95-99,1201,2902
100+,24,77
